rates,base,date,exchanged_to,day
 1.3295835979,USD,2019-12-02,CAD,Monday
 1.3320386596,USD,2019-12-03,CAD,Tuesday
 1.3272267846,USD,2019-12-04,CAD,Wednesday
 1.3169280692,USD,2019-12-05,CAD,Thursday
 1.3176491797,USD,2019-12-06,CAD,Friday
 1.3250564334,USD,2019-12-09,CAD,Monday
 1.3240046944,USD,2019-12-10,CAD,Tuesday
 1.3237923251,USD,2019-12-11,CAD,Wednesday
 1.3177695968,USD,2019-12-12,CAD,Thursday
 1.3166278862,USD,2019-12-13,CAD,Friday
 1.3117710389,USD,2019-12-16,CAD,Monday
 1.3160723885,USD,2019-12-17,CAD,Tuesday
 1.3156995052,USD,2019-12-18,CAD,Wednesday
 1.312224521,USD,2019-12-19,CAD,Thursday
 1.3137784987,USD,2019-12-20,CAD,Friday
 1.3162076749,USD,2019-12-23,CAD,Monday
 1.3160649819,USD,2019-12-24,CAD,Tuesday
 1.3083475298,USD,2019-12-27,CAD,Friday
 1.3067298239,USD,2019-12-30,CAD,Monday
 1.299448104,USD,2019-12-31,CAD,Tuesday
 1.299830251,USD,2020-01-02,CAD,Thursday
 1.2981968243,USD,2020-01-03,CAD,Friday
 1.2975701269,USD,2020-01-06,CAD,Monday
 1.2996777658,USD,2020-01-07,CAD,Tuesday
 1.3018443545,USD,2020-01-08,CAD,Wednesday
 1.3055805581,USD,2020-01-09,CAD,Thursday
 1.3071860067,USD,2020-01-10,CAD,Friday
 1.304511954,USD,2020-01-13,CAD,Monday
 1.3070625281,USD,2020-01-14,CAD,Tuesday
 1.3072159397,USD,2020-01-15,CAD,Wednesday
 1.3035186677,USD,2020-01-16,CAD,Thursday
 1.3051854519,USD,2020-01-17,CAD,Friday
 1.3069012179,USD,2020-01-20,CAD,Monday
 1.3056230319,USD,2020-01-21,CAD,Tuesday
 1.3045634921,USD,2020-01-22,CAD,Wednesday
 1.3162924894,USD,2020-01-23,CAD,Thursday
 1.3131853194,USD,2020-01-24,CAD,Friday
 1.3187301587,USD,2020-01-27,CAD,Monday
 1.3190368015,USD,2020-01-28,CAD,Tuesday
 1.3176983911,USD,2020-01-29,CAD,Wednesday
 1.3216973434,USD,2020-01-30,CAD,Thursday
 1.323470865,USD,2020-01-31,CAD,Friday
 1.3236038316,USD,2020-02-03,CAD,Monday
 1.3279326575,USD,2020-02-04,CAD,Tuesday
 1.3284949651,USD,2020-02-05,CAD,Wednesday
 1.3278196855,USD,2020-02-06,CAD,Thursday
 1.3313884584,USD,2020-02-07,CAD,Friday
 1.3313852616,USD,2020-02-10,CAD,Monday
 1.3296945234,USD,2020-02-11,CAD,Tuesday
 1.3256367968,USD,2020-02-12,CAD,Wednesday
 1.3256648569,USD,2020-02-13,CAD,Thursday
 1.3247555802,USD,2020-02-14,CAD,Friday
 1.3229349331,USD,2020-02-17,CAD,Monday
 1.3262758876,USD,2020-02-18,CAD,Tuesday
 1.3223148148,USD,2020-02-19,CAD,Wednesday
 1.3256719184,USD,2020-02-20,CAD,Thursday
 1.3258031664,USD,2020-02-21,CAD,Friday
 1.3285265299,USD,2020-02-24,CAD,Monday
 1.3286900369,USD,2020-02-25,CAD,Tuesday
 1.3304827586,USD,2020-02-26,CAD,Wednesday
 1.3349142649,USD,2020-02-27,CAD,Thursday
 1.3443563815,USD,2020-02-28,CAD,Friday
 1.3358208955,USD,2020-03-02,CAD,Monday
 1.3364216965,USD,2020-03-03,CAD,Tuesday
 1.3359101124,USD,2020-03-04,CAD,Wednesday
 1.3427192277,USD,2020-03-05,CAD,Thursday
 1.3420077629,USD,2020-03-06,CAD,Friday
 1.3628666201,USD,2020-03-09,CAD,Monday
 1.3677787533,USD,2020-03-10,CAD,Tuesday
 1.3742942837,USD,2020-03-11,CAD,Wednesday
 1.38113879,USD,2020-03-12,CAD,Thursday
 1.3858969741,USD,2020-03-13,CAD,Friday
 1.3927579098,USD,2020-03-16,CAD,Monday
 1.4124931706,USD,2020-03-17,CAD,Tuesday
 1.4403694897,USD,2020-03-18,CAD,Wednesday
 1.4464401444,USD,2020-03-19,CAD,Thursday
 1.4249556365,USD,2020-03-20,CAD,Friday
 1.4383752203,USD,2020-03-23,CAD,Monday
 1.4494143687,USD,2020-03-24,CAD,Tuesday
 1.4352082756,USD,2020-03-25,CAD,Wednesday
 1.4084327475,USD,2020-03-26,CAD,Thursday
 1.4139564544,USD,2020-03-27,CAD,Friday
 1.4161682074,USD,2020-03-30,CAD,Monday
 1.4254289887,USD,2020-03-31,CAD,Tuesday
 1.4265727871,USD,2020-04-01,CAD,Wednesday
